Item;Qty;Reference(s);Value;LibPart;Footprint;Datasheet;DNP;Description;Height;Manufacturer_Name;Manufacturer_Part_Number;Mouser Part Number;Mouser Price/Stock
28;1;IC7;~;alecot:USBLC6-2SC6;alecot:SOT95P280X145-6N;http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00050750.pdf;;TVS Diode Array Uni-Directional USBLC6-2SC6 17V, SOT-23 6-Pin;1.45;STMicroelectronics;USBLC6-2SC6;511-USBLC6-2SC6;https://www.mouser.co.uk/ProductDetail/STMicroelectronics/USBLC6-2SC6?qs=po45yt2pPpu%2FhNIlwQdTlg%3D%3D
29;1;IC8;~;alecot:SHT30-DIS-B2.5KS;alecot:SHT30DISB25KS;https://media.digikey.com/pdf/Data%20Sheets/Sensirion%20PDFs/HT_DS_SHT3x_DIS.pdf;;Humidity/Temperature Sensor Digital Serial (I2C) 8-Pin DFN EP T/R;1;Sensirion;SHT30-DIS-B2.5KS;403-SHT30-DIS-B;https://www.mouser.co.uk/ProductDetail/Sensirion/SHT30-DIS-B2.5kS?qs=y6ZabgHbY%252BwVK7712NFj8g%3D%3D
30;1;IC9;534998-4;alecot:534998-4;alecot:RHDR8W76P254X254_2X4_1016X503X673P;https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=534998&DocType=Customer+Drawing&DocLang=English&DocFormat=pdf&PartCntxt=534998-4;;TE Connectivity Mod IV Series 8 Way 2 Row Female Straight PCB Connector Housing;6.73;TE Connectivity;534998-4;571-5349984;https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/534998-4?qs=4hg9R9g9MDuYj2jy%252BA%2FiKQ%3D%3D
31;2;J1, J2;1935174;alecot:1935174;alecot:1935174;;;PCB terminal block, Nominal current: 17.5 A, Nom. voltage: 400 V, Pitch: 5 mm, Number of positions: 3, Connection method: Screw connection with wire protector, Mounting: Wave soldering, Conductor/PCB connection direction: 0 , Color: green, Also possible: Connection of a 1.5 mm conductor with ferrule, then however with reduction in rated voltage or degree of pollution / surge category.;11.55;Phoenix Contact;1935174;651-1935174;https://www.mouser.co.uk/ProductDetail/Phoenix-Contact/1935174?qs=QWULklcAmSR8B7o4YouITA%3D%3D
32;1;J3;826629-4;alecot:826629-4;alecot:HDRV4W63P0X254_1X4_1016X250X950P;https://componentsearchengine.com/Datasheets/2/826629-4.pdf;;4w Single row straight header gold;9.5;TE Connectivity;826629-4;571-826629-4;https://www.mouser.co.uk/ProductDetail/TE-Connectivity/826629-4?qs=FazuUmncXom81cYQ0o6zwQ%3D%3D
33;2;J7, J8;Conn_01x01;Connector_Generic:Conn_01x01;Connector_Wire:SolderWire-0.25sqmm_1x01_D0.65mm_OD1.7mm;~;;;;;;;
34;1;J9;USB_C_Receptacle_USB2.0;Connector:USB_C_Receptacle_USB2.0;Connector_USB:USB_C_Receptacle_JAE_DX07S016JA1R1500;https://www.usb.org/sites/default/files/documents/usb_type-c.zip;;;;JAE Electronics;DX07S016JA1R1500;;
35;1;J10;~;alecot:20021111-00010T1LF;alecot:HDRV10W45P127_2X5_635X343X575P;https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/20021111.pdf;;Minitek127,  Board to Board connector, Unshrouded Vertical Header, Through Hole, Double Row, 10 Positions, 1.27mm (0.050in) pitch.;5.75;Amphenol Communications Solutions;20021111-00010T1LF;649-200211110010T1LF;https://www.mouser.co.uk/ProductDetail/Amphenol-FCI/20021111-00010T1LF?qs=nwYJ12Fl9gS7abe%2FFSrp1g%3D%3D
36;1;J12;M50-3530242;alecot:M50-3530242;alecot:HDRV2W40P0X127_1X2_254X210X420P;https://cdn.harwin.com/pdfs/M50-353.pdf;;"1.27mm (0.05"") Pitch SIL Vertical Throughboard Pin Header, selective gold + tin, 2 contacts";4.2;Harwin;M50-3530242;855-M50-3530242;https://www.mouser.co.uk/ProductDetail/Harwin/M50-3530242?qs=%252BdQmOuGyFcFfqfwYQe%2FxZw%3D%3D
37;1;L1;4.7u;alecot:LQM21PN4R7MGHL;alecot:LQM21PHR47NG0D;https://componentsearchengine.com/Datasheets/1/LQM21PN4R7MGHL.pdf;;LQM21PN_GH Series Inductor 4.7uH +/-20% 0805 (2012);1;Murata Electronics;LQM21PN4R7MGHL;81-LQM21PN4R7MGHL;https://www.mouser.com/Search/Refine.aspx?Keyword=81-LQM21PN4R7MGHL
38;1;L2;10uH;alecot:LQM18DN100M70L;alecot:INDC1608X95N;https://4donline.ihs.com/images/VipMasterIC/IC/MURE/MURE-S-A0013532308/MURE-S-A0013538696-1.pdf?hkey=EF798316E3902B6ED9A73243A3159BB0;;Fixed Inductors 0603 10uH 20% 300mA;0.95;Murata Electronics;LQM18DN100M70L;81-LQM18DN100M70L;https://www.mouser.co.uk/ProductDetail/Murata-Electronics/LQM18DN100M70L?qs=7MVldsJ5UaxbUO4BTDTyDg%3D%3D
39;1;L3;10 nH;alecot:LQW18AN10NJ00D;alecot:LQW18AS10NG0CD;https://componentsearchengine.com/Datasheets/1/LQW18AN10NJ00D.pdf;;Murata LQQ18A Series Wire-wound SMD Inductor 10 nH +/-5% 650mA Idc Q:35;1;Murata Electronics;LQW18AN10NJ00D;81-LQW18AN10NJ00D;https://www.mouser.com/Search/Refine.aspx?Keyword=81-LQW18AN10NJ00D
40;1;L4;2.7n;alecot:LQG15HS2N7S02D;alecot:LQG15WH0N7B02D;https://psearch.en.murata.com/inductor/product/LQG15HS2N7S02%23.html;;LQG15HS_02 Series Inductor 2.7nH +/-0.3nH 0402 (1005);0.55;Murata Electronics;LQG15HS2N7S02D;81-LQG15HS2N7S02D;https://www.mouser.co.uk/ProductDetail/Murata-Electronics/LQG15HS2N7S02D?qs=ctz47l0uL1AKrLI74yO5Qw%3D%3D
41;1;L5;0L;alecot:LQG15HS2N7S02D;alecot:LQG15WH0N7B02D;https://psearch.en.murata.com/inductor/product/LQG15HS2N7S02%23.html;;LQG15HS_02 Series Inductor 2.7nH +/-0.3nH 0402 (1005);0.55;Murata Electronics;LQG15HS2N7S02D;81-LQG15HS2N7S02D;https://www.mouser.co.uk/ProductDetail/Murata-Electronics/LQG15HS2N7S02D?qs=ctz47l0uL1AKrLI74yO5Qw%3D%3D
42;3;LED1, LED2, LED3;GREEN;alecot:150060VS55040;alecot:LEDM168X50N;https://katalog.we-online.com/led/datasheet/150060VS55040.pdf;;LED, 150060VS55040, Wurth Elektronik WL-SMCD 573 (Typ.) nm 0603 Diffused SMD package, 2V, 20mA;0.5;Wurth Elektronik;150060VS55040;710-150060VS55040;https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/150060VS55040?qs=8Aam6%252B7C6HEumg%252B0cJZzvA%3D%3D
43;1;LED4;GREEN;alecot:151031VS06000;alecot:151034GS03000;https://katalog.we-online.de/led/datasheet/151031VS06000.pdf;;LED,Wurth Elektronik,151031VS06000, 2.2V FV;;Wurth Elektronik;151031VS06000;710-151031VS06000;https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/151031VS06000?qs=LlUlMxKIyB01ggED1iKswA%3D%3D
